Item,Type,Target,Target_Type,Effect,Description
SP Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative Max SP by 300.
ATK Augment Chip I,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative ATK by 30.
ATK Augment Chip II,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative ATK by 50.
ATK Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative ATK by 100.
DEF Augment Chip I,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative DEF by 30.
DEF Augment Chip II,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative DEF by 50.
DEF Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative DEF by 100.
INT Augment Chip I,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative INT by 30.
INT Augment Chip II,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative INT by 50.
INT Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative INT by 100.
SPI Augment Chip I,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPI by 30.
SPI Augment Chip II,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPI by 50.
SPI Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPI by 100.
SPD Augment Chip I,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPD by 30.
SPD Augment Chip II,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPD by 50.
SPD Augment Chip III,Consumable,Single,Ally,Stat_Booster,Increases a Digimon's cumulative SPD by 100.
